sample_idx,names,addresses,categories,websites,phones,emails,socials,brand
29,{'primary': 'ARAL Tankstelle'},"[{'freeform': 'Volkmannstr. 19', 'locality': 'Halle (Saale)', 'region': 'Saxony-Anhalt', 'country': 'DE', 'postcode': '06112'}]","{'primary': 'gas_station', 'alternate': ['automotive', 'travel']}",['http://www.aral.de/'],"[""+493455126523""]",,['https://www.facebook.com/214555258574811'],{'names': {}}
30,{'primary': 'Heartland Mortgage Inc - Bobbie Jo Haggard'},"[{'freeform': '30 S Palouse St', 'locality': 'Walla Walla', 'region': 'WA', 'country': 'US', 'postcode': '99362'}]","{'primary': 'mortgage_lender', 'alternate': ['mortgage_broker']}",['http://www.wallawallamortgage.com/'],"[""5093011661""]",,,{'names': {}}
31,{'primary': 'Terminix'},"[{'freeform': '334 S Collier St', 'locality': 'Bainbridge', 'postcode': '39819', 'region': 'GA', 'country': 'US'}]",{'primary': 'pest_control_service'},['https://www.terminix.com/exterminators/ga/bainbridge-2615/'],"[""2296718791""]",,,{'names': {}}
32,{'primary': 'Kupferstecher Frankfurt'},"[{'freeform': 'Merianplatz 3', 'locality': 'Frankfurt am Main', 'region': 'Hessen', 'country': 'DE', 'postcode': '60316'}]","{'primary': 'restaurant', 'alternate': ['german_restaurant', 'burger_restaurant']}",['https://kupferstecher-frankfurt.de/'],"[""+496926495455""]",,['https://www.facebook.com/259942624918629'],{'names': {}}
33,"{'primary': ""Women's Health Boutique""}","[{'freeform': '3115 W Parker Rd Ste 270', 'locality': 'Plano', 'region': 'TX', 'country': 'US', 'postcode': '75023'}]","{'primary': 'medical_supply', 'alternate': ['wig_store', 'orthotics', 'health_and_medical', 'retail']}",['http://www.mywhb.com/'],"[""9729854477""]",,,{'names': {}}
34,{'primary': 'KC Solar'},"[{'freeform': '8101 College Blvd Ste 100', 'locality': 'Overland Park', 'region': 'KS', 'country': 'US', 'postcode': '66210'}]","{'primary': 'energy_equipment_and_solution', 'alternate': ['solar_installation', 'home_improvement_store']}",['https://kcsolar.net/'],"[""+19135797533""]",,['https://www.facebook.com/958329017641480'],{'names': {}}
35,{'primary': 'Commerce Bank ATM'},"[{'freeform': '1020 S 5th St', 'locality': 'Saint Charles', 'region': 'MO', 'country': 'US', 'postcode': '63301'}]",{'primary': 'atms'},['https://locations.commercebank.com/mo/st-charles/atm-1020-s-5th-st.html'],"[""8556591656""]",,,{'names': {}}
36,{'primary': 'Mr. Roof Louisville'},"[{'freeform': '2304 Ralph Ave', 'locality': 'Louisville', 'region': 'KY', 'country': 'US', 'postcode': '40216'}]","{'primary': 'roofing', 'alternate': ['contractor', 'home_improvement_store']}",['https://www.mrroof.com/louisville/'],"[""+15026532417""]",,['https://www.facebook.com/684279538295009'],{'names': {}}
37,{'primary': 'Campbell Veterinary Hospital'},"[{'freeform': '102 Walmart Dr', 'locality': 'Eatonton', 'region': 'GA', 'country': 'US', 'postcode': '31024'}]","{'primary': 'veterinarian', 'alternate': ['hospital', 'social_service_organizations']}",['https://campbellveterinaryhospital.com/'],"[""+17622212202""]",,['https://www.facebook.com/104313694938335'],{'names': {}}
38,{'primary': 'Local Locker Storage'},"[{'freeform': '1320 Fulton St.', 'locality': 'Brooklyn', 'region': 'NY', 'country': 'US', 'postcode': '11216'}]","{'primary': 'self_storage_facility', 'alternate': ['storage_facility']}",['https://locations.localocker.com/bedstuy-storage-97?utm_source=Facebook&utm_medium=Yext'],"[""+19175402098""]",,['https://www.facebook.com/101971539434283'],{'names': {}}
39,{'primary': 'Residence Malcesine'},"[{'freeform': 'Via Navene Vecchia, 135', 'locality': 'Malcesine', 'postcode': '37018', 'region': '34', 'country': 'IT'}]","{'primary': 'hotel', 'alternate': ['landmark_and_historical_building', 'holiday_rental_home']}",['http://www.residencemalcesine.it/'],"[""+390454500300""]",,['https://www.facebook.com/166746674998394'],{'names': {}}
40,{'primary': '京都御所 Kyoto Imperial Palace'},"[{'freeform': '京都市上京区京都御苑3 (3Kyotogyoen, Kamigyo Ward, Kyoto)nn', 'locality': 'Kyoto-shi', 'region': '26', 'country': 'JP'}]","{'primary': 'palace', 'alternate': ['hotel']}",['http://sankan.kunaicho.go.jp'],"[""+81752111215""]",,['https://www.facebook.com/109670610904898'],
41,{'primary': 'SignWriter'},"[{'freeform': '633 W Michigan Ave', 'locality': 'Kalamazoo', 'region': 'MI', 'country': 'US', 'postcode': '49007'}]","{'primary': 'sign_making', 'alternate': ['printing_services', 'professional_services']}",['http://www.signwriterkzoo.com/'],"[""+12693736440""]",,['https://www.facebook.com/1446626112272894'],{'names': {}}
42,{'primary': 'FNAC Chambéry'},"[{'freeform': '11 Rue Doppet', 'postcode': '73000', 'country': 'FR'}]","{'primary': 'health_and_medical', 'alternate': ['hospital']}",['https://www.fnac.com/Chambery/Fnac-Chambery/cl251/w-4?utm_source=facebook'],"[""+33155215840""]",,['https://www.facebook.com/433345239872443'],{'names': {'primary': 'Fnac'}}
